index,original,transformed,tokens
11774,(Camso Loadstar ( Pivt ) Ltd.),(camso loadstar,"['(', 'camso', 'loadstar']"
128074,"['China National Petroleum Offshore Engineering Co., Ltd']",[china national petroleum offshore engineering ltd],"['[', 'china', 'national', 'petroleum', 'offshore', 'engineering', 'ltd', ']']"
354506,"['Hongyuan Construction Co.,Ltd.']",[hongyuan construction,"['[', 'hongyuan', 'construction']"
364796,"['QINGDAO CROWN INTERNATIONAL TRADING CO., LTD']",[qingdao crown international trading ltd],"['[', 'qingdao', 'crown', 'international', 'trading', 'ltd', ']']"
253955,['Specialty Polymers'],[specialty polymers],"['[', 'specialty', 'polymers', ']']"
77325,"['ПЕТРО-ХИМ ТЕХНОЛОГИИ, ООО']",[петро-хим технологии,"['[', 'петро-хим', 'технологии']"
675,A.A.Industries,a.a.industries,['a.a.industries']
373,A.K.Enterprise,a.k.enterprise,['a.k.enterprise']
15,A.L.,a.l.,"['a.l', '.']"
46440,A.L.Textile (Prop. Anuragkumar L. Marda),a.l.textile,['a.l.textile']
3770,A.P.I.,a.p.i.,"['a.p.i', '.']"
4391,Aa Spinning Mills Ltd.,aa spinning mills,"['aa', 'spinning', 'mills']"
9376,Aa Synthetic Fibers Ltd.,aa synthetic fibers,"['aa', 'synthetic', 'fibers']"
1129,Aaa Acme Rubber Co.,aaa acme rubber,"['aaa', 'acme', 'rubber']"
13387,Aaa Enterprise Fze,aaa enterprise fze,"['aaa', 'enterprise', 'fze']"
17339,Aacm Agence Maritime Sarl,aacm agence maritime sarl,"['aacm', 'agence', 'maritime', 'sarl']"
16772,Aacm Sarl,aacm sarl,"['aacm', 'sarl']"
2949,"Aakash Plastopack Pvt., Ltd.",aakash plastopack,"['aakash', 'plastopack']"
19881,Aalborz Chemical Llc Dba Aal Chem,aalborz chemical llc dba aal chem,"['aalborz', 'chemical', 'llc', 'dba', 'aal', 'chem']"
1159,Aamp Of America,aamp of america,"['aamp', 'of', 'america']"
2343,Aanu Enterprises,aanu enterprises,"['aanu', 'enterprises']"
1681,Aapko Forwarders Inc.,aapko forwarders,"['aapko', 'forwarders']"
22822,Aarchem Corporation,aarchem,['aarchem']
1800,Aaron's Inc.,aarons,['aarons']
16101,"Aastha Auto Tech Pvt., Ltd.",aastha auto tech,"['aastha', 'auto', 'tech']"
5572,Aayush Trading Ltd.,aayush trading,"['aayush', 'trading']"
160,Ab Imp. & Exp.,ab,['ab']
195875,AB CHEMICALS LIMITED,ab chemicals limited,"['ab', 'chemicals', 'limited']"
1207,Ab Decor Llc,ab decor llc,"['ab', 'decor', 'llc']"
